Gene names	Majority protein IDs	Mol. weight [kDa]	Average concentration  H1	Average concentration  H2	Average concentration  H3
A1BG	P04217	54.253	0	0	0
A1CF	Q9NQ94;Q9NQ94-2;F8W9F8;Q9NQ94-4;Q9NQ94-3;Q9NQ94-6;Q5T0W7	65.202	1.354382215	1.655866928	1.919589946
A2LD1	Q9BVM4	17.328	0	0	0
A2M	P01023	163.29	9.259790593	8.543905297	8.975658326
A2ML1	A8K2U0	161.1	0.051310011	0.011091783	0.010608343
AAAS	Q9NRG9;F8VZ44;H3BU82;Q9NRG9-2	59.573	0.675383777	0.568273747	0.504445508
AACS	Q86V21;Q86V21-2	75.143	0.301450406	0.236594902	0.249136355
AADAC	P22760	45.733	0	0	0
AADAT	Q8N5Z0;Q8N5Z0-2	47.351	0	0	0
AAGAB	Q6PD74	34.593	0.029590568	0	0.009531707
AAK1	Q2M2I8;Q2M2I8-2;E9PG46	103.88	0.055549558	0.036146673	0.06022996
AAMP	C9JEH3;Q13685;C9JG97;C9JTS3	46.821	0.726519989	0.615263628	0.701686221
AARS	P49588	106.81	6.302152273	5.438885221	5.128698322
AARS2	Q5JTZ9	107.34	1.138828049	1.07941315	1.030268759
AARSD1	Q9BTE6-3;Q9BTE6-2;C9J5N1;Q9BTE6;K7N7A3	65.701	0.035329291	0.044689122	0.037272822
AASDHPPT	Q9NRN7;E9PLW6	35.776	0.112414465	0.147113531	0.102364633
AASS	Q9UDR5;F8WAH1;F8WE53	102.13	1.925622841	1.977584355	2.071156236
AAT1	Q7Z4T9-7;Q7Z4T9;Q7Z4T9-8;Q7Z4T9-3;Q7Z4T9-6	89.954	0	0	0
AATF	Q9NY61	63.132	0.959090421	1.183118287	1.107612865
ABAT	H3BRN4;P80404;H3BNQ7	58.14	15.29972806	15.44485158	13.88615521
ABCA1	O95477	254.3	0.024584411	0.025679392	0.023951346
ABCA2	J3QSS3;Q9BZC7-3;Q9BZC7;Q9BZC7-2;E7EU84;H0Y8D6;H0Y8C9	269.97	0	0	0
ABCA6	Q8N139	184.28	0	0	0
ABCA8	C9JQE6;O94911	183.67	0	0.003621652	0.004230629
ABCB1	P08183;B5AK60	141.48	0.728162652	0.643191915	0.616341131
ABCB10	Q9NRK6	79.147	0.756368249	0.821659933	0.772610139
ABCB11	O95342	146.41	0.009721615	0.020876307	0.011190955
ABCB4	P21439-2;P21439-3;P21439	140.68	0	0	0
ABCB6	Q9NP58;Q9NP58-4;H7BXK9	93.884	0.729257077	0.705149098	0.680696677
ABCB7	O75027-2;O75027;G3XAC4;B4DGL8	82.768	0.255882357	0.249703791	0.296773452
ABCB8	Q9NUT2;Q9NUT2-2;G3XAP3;A5D8W3	79.988	0.427026871	0.348577706	0.307367011
