Entry	yourlist:M20170920F725F458AC8690F874DD868E4ED79B88CC4D22H	Gene names	Protein names	EC number
Q9H7B7	HSA:80099	C7orf69	Uncharacterized protein C7orf69	
A6NCW0	HSA:645836	USP17L3 USP17B USP17F	Ubiquitin carboxyl-terminal hydrolase 17-like protein 3 (EC 3.4.19.12) (Deubiquitinating enzyme 17-like protein 3) (Ubiquitin thioesterase 17-like protein 3) (Ubiquitin-specific-processing protease 17-like protein 3)	3.4.19.12
Q7RTZ2	HSA:401447	USP17L1 USP17L USP17L1P	Ubiquitin carboxyl-terminal hydrolase 17-like protein 1 (EC 3.4.19.12) (Deubiquitinating enzyme 17-like protein 1) (Ubiquitin thioesterase 17-like protein 1) (Ubiquitin-specific-processing protease 17-like protein 1)	3.4.19.12
Q96JP2	HSA:80022	MYO15B KIAA1783 MYO15BP	Unconventional myosin-XVB (Myosin XVBP) (Unconventional myosin-15B)	
Q9H614	HSA:80022		cDNA: FLJ22686 fis, clone HSI10987	
Q5VWM6	HSA:400736	PRAMEF13	Putative PRAME family member 13	
Q5T9Z0	HSA:127670	TEDDM1 HE9	Transmembrane epididymal protein 1 (Human epididymis-specific protein 9) (He9)	
Q68DQ2	HSA:131544	CRYBG3	Very large A-kinase anchor protein (vlAKAP) (Beta/gamma crystallin domain-containing protein 3)	
A0A126GVS5	HSA:121129	OR2AP1 hCG_1648196	Olfactory receptor	
Q8NGE2	HSA:121129	OR2AP1 OR2AP1P	Olfactory receptor 2AP1 (Olfactory receptor OR12-9)	
Q8NHB1	HSA:26693	OR2V1	Olfactory receptor 2V1	
A0A126GWR8	HSA:81466	OR2L5 hCG_2044366	Olfactory receptor	
Q8NG80	HSA:81466	OR2L5 OR2L11	Olfactory receptor 2L5 (Olfactory receptor 2L11) (Olfactory receptor OR1-53)	
A0A126GWL6	HSA:390083	OR56A3	OR56A3	
Q8NH54	HSA:390083	OR56A3 OR56A3P OR56A6	Olfactory receptor 56A3 (Olfactory receptor 56A6)	
A0A126GVG1	HSA:219431	OR4S2 hCG_2044351	Olfactory receptor	
Q8NH73	HSA:219431	OR4S2 OR4S2P	Olfactory receptor 4S2 (Olfactory receptor OR11-137)	
Q587J7	HSA:91646	TDRD12 ECAT8	Putative ATP-dependent RNA helicase TDRD12 (EC 3.6.4.13) (ES cell-associated transcript 8 protein) (Tudor domain-containing protein 12)	3.6.4.13
Q86TI4	HSA:349136	WDR86	WD repeat-containing protein 86	
Q8WZ04	HSA:220074	LRTOMT COMT2 TOMT PP7517	Transmembrane O-methyltransferase (EC 2.1.1.6) (Catechol O-methyltransferase 2) (Protein LRTOMT2)	2.1.1.6
Q8TCV5	HSA:149708	WFDC5 PRG5 WAP1 UNQ3036/PRO9842	WAP four-disulfide core domain protein 5 (Putative protease inhibitor WAP1) (p53-responsive gene 5 protein)	
H7BY22	HSA:29068	ZBTB44	Zinc finger and BTB domain-containing protein 44	
Q8NCP5	HSA:29068	ZBTB44 BTBD15 ZNF851	Zinc finger and BTB domain-containing protein 44 (BTB/POZ domain-containing protein 15) (Zinc finger protein 851)	
Q86WT1	HSA:92104	TTC30A	Tetratricopeptide repeat protein 30A (TPR repeat protein 30A)	
Q8NH07	HSA:79334	OR11H2 C14orf15 OR11H2P	Olfactory receptor 11H2 (Olfactory receptor OR14-1)	
Q8N350	HSA:255057	CBARP C19orf26	Voltage-dependent calcium channel beta subunit-associated regulatory protein	
A6NFR9	HSA:729528	PRAMEF14	PRAME family member 14	
Q5VWM3	HSA:391003	PRAMEF18	PRAME family member 18	
Q685J3	HSA:140453	MUC17 MUC3	Mucin-17 (MUC-17) (Small intestinal mucin-3) (MUC-3)	
A0A0G2JMU2	HSA:102723502	POTEB3	POTE ankyrin domain family member B3	
A0A0G2JNH3	HSA:102723532	LOC105369274	Olfactory receptor	
A6NCN8	HSA:101929469		Uncharacterized protein ENSP00000372125	
Q8N6K4	HSA:107987235		Putative uncharacterized protein MGC34800	
P61550	HSA:105372315	ERVS71-1	Endogenous retrovirus group S71 member 1 Env polyprotein (Envelope polyprotein) (HERV-T Env protein) (HERV-T_19q13.11 provirus ancestral Env polyprotein) [Includes: Surface protein (SU); Transmembrane protein (TM)]	
A0A0B4J2B3	HSA:100996763	NBPF14	Neuroblastoma breakpoint family member 14	
A6NM62	HSA:105378803	LRRC53	Leucine-rich repeat-containing protein 53	
Q9NT86	HSA:100506571	DKFZp434C0923 hCG_42237	HCG42237 (Uncharacterized protein DKFZp434C0923)	
Q57Z89	HSA:107985773	FLJ20019 hCG_1732469	HCG1732469 (Uncharacterized protein FLJ20019)	
Q6ZRZ1	HSA:401040		cDNA FLJ45964 fis, clone PLACE7014396	
A0A0B4J2E5	HSA:102724159	LOC102724159	Uncharacterized protein	
A0A0B4J2D5	HSA:102724023	LOC102724023	Uncharacterized protein	
